l1_subset,l1_algo,l2_subset,l2_algo,accuracy,macro_f1,weighted_f1,false_alarm_rate,forwarded,recall_Normal,recall_DoS,recall_Probe,recall_R2L,recall_U2R,latency_us
MVO,Extra Trees,MVO,Extra Trees,0.7707594038325053,0.5282500894418772,0.7330500274056849,0.04922253115024199,0.3992193044712562,0.950777468849758,0.8144274604451596,0.7670384138785625,0.07443718228031954,0.035,4.097273050100441
PSO,CatBoost,MVO,XGBoost,0.7904098651525905,0.5280786755097129,0.7394587034104422,0.03192256204304397,0.413236337828247,0.968077437956956,0.8239474389916868,0.9334985543163982,0.0014524328249818446,0.045,0.7173351928524314
MVO,Extra Trees,MVO,Random Forest,0.7707150461320085,0.5280744917359893,0.7330368023937793,0.04922253115024199,0.3992193044712562,0.950777468849758,0.8138911236256369,0.7682775712515489,0.07443718228031954,0.035,3.9792105610014916
MVO,XGBoost,GA,Extra Trees,0.7551898509581263,0.5278083445342425,0.7192374230293601,0.060035011842240756,0.4256564939673527,0.9399649881577592,0.7676320729418075,0.8228004956629492,0.058460421205519246,0.095,1.601911235925245
GWO,XGBoost,GA,Extra Trees,0.7656139105748758,0.5276012453329487,0.7248499692332923,0.030686849963958398,0.39952980837473384,0.9693131500360416,0.7662912308930008,0.8091697645600991,0.05773420479302832,0.07,1.581831540240399
MVO,LightGBM,MFO,GBM,0.7582505322924059,0.5275512943047187,0.7200692277048066,0.02903923385851097,0.39513839602555,0.9709607661414891,0.7374631268436578,0.8273440726972325,0.05410312273057371,0.065,1.3483539441312156
PSO,Extra Trees,MVO,XGBoost,0.7878814762242725,0.5271288647911265,0.7391808811722745,0.030171969931006074,0.4090223562810504,0.9698280300689939,0.8242156074014481,0.8905410987195373,0.011619462599854757,0.045,2.736856616577395
GWO,LightGBM,GA,LightGBM,0.7569641589779986,0.5270394092449444,0.7207213944322507,0.030583873957367932,0.39571504613200853,0.969416126042632,0.7397425583266292,0.8099958694754233,0.05809731299927379,0.065,1.6240131780026283
MVO,XGBoost,MVO,Extra Trees,0.7704488999290277,0.526912648389659,0.7360791979081911,0.060035011842240756,0.4256564939673527,0.9399649881577592,0.8130866183963529,0.825691862866584,0.05809731299927379,0.09,1.7539836530415587
PSO,XGBoost,MVO,Random Forest,0.787526614620298,0.5262032810107646,0.7399977368818121,0.029966017917825147,0.4153211497515969,0.9700339820821748,0.8157683024939663,0.9008674101610905,0.02214960058097313,0.04,1.6817987677786967
MVO,CatBoost,GA,GBM,0.7787437899219305,0.5261158221518126,0.7384902547675356,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.7952534191472245,0.8418009087154068,0.05773420479302832,0.05,1.594599460874769
MVO,Extra Trees,MVO,CatBoost,0.7739531582682754,0.5258637100751857,0.7368652891180382,0.04922253115024199,0.3992193044712562,0.950777468849758,0.8259587020648967,0.781908302354399,0.05664488017429194,0.03,2.85795809275588
MVO,CatBoost,GA,Extra Trees,0.7703601845280341,0.5255298524606461,0.7299657157759634,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.7691069991954947,0.8438661710037175,0.05737109658678286,0.06,2.1531701079137067
MVO,CatBoost,GA,LightGBM,0.7625975869410929,0.5254479085329486,0.7265387990804186,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.7455081791364977,0.8438661710037175,0.05773420479302832,0.06,1.9540283383426158
MVO,LightGBM,GA,Random Forest,0.7641057487579844,0.52537566625123,0.7246164518834826,0.02903923385851097,0.39513839602555,0.9709607661414891,0.7539554840439796,0.8265179677819083,0.0570079883805374,0.08,1.8575913615197213
MVO,CatBoost,MFO,LightGBM,0.7720901348474095,0.5253546980961563,0.7307857494505614,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.7743362831858407,0.8446922759190417,0.05664488017429194,0.06,1.472639856433302
MVO,LightGBM,MFO,XGBoost,0.7587828246983677,0.5251625402336606,0.7181029956448983,0.02903923385851097,0.39513839602555,0.9709607661414891,0.7379994636631805,0.8273440726972325,0.05664488017429194,0.07,0.7786332047229901
MVO,Extra Trees,MVO,LightGBM,0.7721788502484032,0.525067359785966,0.735138037480638,0.04922253115024199,0.3992193044712562,0.950777468849758,0.8181818181818182,0.7885171416769929,0.0570079883805374,0.035,3.3031956364554604
GWO,LightGBM,GA,Extra Trees,0.761444286728176,0.5248498487600268,0.7206722833183223,0.030583873957367932,0.39571504613200853,0.969416126042632,0.7539554840439796,0.808756712102437,0.0570079883805374,0.07,1.8128665559492319
GWO,XGBoost,MFO,XGBoost,0.7688520227111426,0.5246310071428091,0.7280664509441387,0.030686849963958398,0.39952980837473384,0.9693131500360416,0.7755430410297667,0.8112350268484098,0.058823529411764705,0.05,0.4938068061481766
GWO,XGBoost,GA,LightGBM,0.7580731014904187,0.5245930907819882,0.7216639726769997,0.030686849963958398,0.39952980837473384,0.9693131500360416,0.7429605792437651,0.8104089219330854,0.058823529411764705,0.06,1.3911575827059233
